w1,w2,count,support
N11,N19,15,0.012244897959183673
N11,N20,15,0.012244897959183673
N11,N30,15,0.012244897959183673
N11,N43,15,0.012244897959183673
N12,N17,15,0.012244897959183673
N12,N35,15,0.012244897959183673
N12,N37,15,0.012244897959183673
N13,N22,15,0.012244897959183673
N15,N29,15,0.012244897959183673
N16,N30,15,0.012244897959183673
N17,N22,15,0.012244897959183673
N17,N42,15,0.012244897959183673
N18,N33,15,0.012244897959183673
N19,N22,15,0.012244897959183673
N19,N36,15,0.012244897959183673
N20,N29,15,0.012244897959183673
N20,N38,15,0.012244897959183673
N21,N40,15,0.012244897959183673
N22,N27,15,0.012244897959183673
N22,N35,15,0.012244897959183673
N23,N26,15,0.012244897959183673
N23,N37,15,0.012244897959183673
N25,N26,15,0.012244897959183673
N25,N39,15,0.012244897959183673
N26,N45,15,0.012244897959183673
N29,N37,15,0.012244897959183673
N30,N40,15,0.012244897959183673
N30,N42,15,0.012244897959183673
N31,N35,15,0.012244897959183673
N31,N39,15,0.012244897959183673
