w1,w2,support,count
N32,N40,0.015510204081632653,19
N33,N41,0.015510204081632653,19
N33,N42,0.015510204081632653,19
N34,N40,0.015510204081632653,19
N34,N43,0.015510204081632653,19
N35,N36,0.015510204081632653,19
N35,N45,0.015510204081632653,19
N37,N41,0.015510204081632653,19
N40,N44,0.015510204081632653,19
N41,N44,0.015510204081632653,19
N42,N43,0.015510204081632653,19
N43,N45,0.015510204081632653,19
N01,N05,0.014693877551020407,18
N01,N11,0.014693877551020407,18
N01,N38,0.014693877551020407,18
N02,N12,0.014693877551020407,18
N02,N22,0.014693877551020407,18
N02,N37,0.014693877551020407,18
N02,N44,0.014693877551020407,18
N03,N16,0.014693877551020407,18
N03,N17,0.014693877551020407,18
N03,N30,0.014693877551020407,18
N03,N35,0.014693877551020407,18
N03,N44,0.014693877551020407,18
N04,N05,0.014693877551020407,18
N04,N09,0.014693877551020407,18
N04,N15,0.014693877551020407,18
N04,N19,0.014693877551020407,18
N04,N29,0.014693877551020407,18
N04,N41,0.014693877551020407,18
N04,N43,0.014693877551020407,18
N05,N17,0.014693877551020407,18
N05,N22,0.014693877551020407,18
N05,N25,0.014693877551020407,18
N06,N10,0.014693877551020407,18
N06,N24,0.014693877551020407,18
N06,N41,0.014693877551020407,18
N07,N17,0.014693877551020407,18
N07,N34,0.014693877551020407,18
N07,N35,0.014693877551020407,18
N07,N41,0.014693877551020407,18
N07,N44,0.014693877551020407,18
N07,N45,0.014693877551020407,18
N08,N15,0.014693877551020407,18
N08,N25,0.014693877551020407,18
N08,N35,0.014693877551020407,18
N09,N27,0.014693877551020407,18
N09,N28,0.014693877551020407,18
N09,N35,0.014693877551020407,18
N09,N38,0.014693877551020407,18
N10,N28,0.014693877551020407,18
N10,N32,0.014693877551020407,18
N11,N31,0.014693877551020407,18
N11,N41,0.014693877551020407,18
N11,N45,0.014693877551020407,18
N12,N21,0.014693877551020407,18
N12,N31,0.014693877551020407,18
N13,N19,0.014693877551020407,18
N13,N41,0.014693877551020407,18
N14,N20,0.014693877551020407,18
N14,N25,0.014693877551020407,18
N14,N44,0.014693877551020407,18
N15,N17,0.014693877551020407,18
N15,N27,0.014693877551020407,18
N15,N28,0.014693877551020407,18
N15,N41,0.014693877551020407,18
N15,N44,0.014693877551020407,18
N16,N17,0.014693877551020407,18
N16,N26,0.014693877551020407,18
N16,N27,0.014693877551020407,18
N16,N39,0.014693877551020407,18
N17,N24,0.014693877551020407,18
N17,N26,0.014693877551020407,18
N17,N29,0.014693877551020407,18
N17,N37,0.014693877551020407,18
N18,N29,0.014693877551020407,18
N18,N35,0.014693877551020407,18
N19,N32,0.014693877551020407,18
N19,N40,0.014693877551020407,18
N20,N27,0.014693877551020407,18
N20,N28,0.014693877551020407,18
N20,N31,0.014693877551020407,18
N20,N40,0.014693877551020407,18
N20,N43,0.014693877551020407,18
N21,N41,0.014693877551020407,18
N21,N43,0.014693877551020407,18
N22,N28,0.014693877551020407,18
N23,N25,0.014693877551020407,18
N23,N29,0.014693877551020407,18
N23,N38,0.014693877551020407,18
N23,N39,0.014693877551020407,18
N23,N40,0.014693877551020407,18
N24,N36,0.014693877551020407,18
N24,N38,0.014693877551020407,18
N24,N39,0.014693877551020407,18
N24,N42,0.014693877551020407,18
N25,N27,0.014693877551020407,18
N25,N28,0.014693877551020407,18
N25,N31,0.014693877551020407,18
N25,N38,0.014693877551020407,18
N25,N43,0.014693877551020407,18
N26,N28,0.014693877551020407,18
N26,N30,0.014693877551020407,18
N26,N44,0.014693877551020407,18
N27,N30,0.014693877551020407,18
N28,N36,0.014693877551020407,18
N29,N31,0.014693877551020407,18
N29,N39,0.014693877551020407,18
N29,N43,0.014693877551020407,18
N29,N45,0.014693877551020407,18
N32,N34,0.014693877551020407,18
N32,N42,0.014693877551020407,18
N33,N34,0.014693877551020407,18
N34,N36,0.014693877551020407,18
N34,N38,0.014693877551020407,18
N35,N38,0.014693877551020407,18
N35,N44,0.014693877551020407,18
N36,N44,0.014693877551020407,18
N38,N43,0.014693877551020407,18
N38,N44,0.014693877551020407,18
N41,N43,0.014693877551020407,18
N01,N15,0.013877551020408163,17
N01,N39,0.013877551020408163,17
N01,N43,0.013877551020408163,17
N02,N13,0.013877551020408163,17
N02,N24,0.013877551020408163,17
N02,N31,0.013877551020408163,17
N02,N42,0.013877551020408163,17
N02,N43,0.013877551020408163,17
N03,N06,0.013877551020408163,17
N03,N39,0.013877551020408163,17
N03,N41,0.013877551020408163,17
N04,N14,0.013877551020408163,17
N04,N28,0.013877551020408163,17
N04,N31,0.013877551020408163,17
N04,N42,0.013877551020408163,17
N05,N29,0.013877551020408163,17
N05,N30,0.013877551020408163,17
N05,N37,0.013877551020408163,17
N05,N44,0.013877551020408163,17
N06,N15,0.013877551020408163,17
N06,N35,0.013877551020408163,17
N06,N36,0.013877551020408163,17
N06,N43,0.013877551020408163,17
N07,N23,0.013877551020408163,17
N08,N14,0.013877551020408163,17
N08,N34,0.013877551020408163,17
N08,N42,0.013877551020408163,17
N09,N17,0.013877551020408163,17
N09,N18,0.013877551020408163,17
N09,N24,0.013877551020408163,17
N09,N37,0.013877551020408163,17
