w1,w2,w3,support,count
N31,N42,N43,0.004081632653061225,5
N32,N34,N42,0.004081632653061225,5
N34,N42,N44,0.004081632653061225,5
N35,N36,N44,0.004081632653061225,5
N35,N37,N45,0.004081632653061225,5
N37,N41,N45,0.004081632653061225,5
N37,N43,N45,0.004081632653061225,5
N39,N41,N45,0.004081632653061225,5
N01,N02,N06,0.0032653061224489797,4
N01,N02,N09,0.0032653061224489797,4
N01,N02,N15,0.0032653061224489797,4
N01,N02,N25,0.0032653061224489797,4
N01,N03,N08,0.0032653061224489797,4
N01,N03,N12,0.0032653061224489797,4
N01,N03,N14,0.0032653061224489797,4
N01,N03,N18,0.0032653061224489797,4
N01,N03,N20,0.0032653061224489797,4
N01,N03,N32,0.0032653061224489797,4
N01,N04,N16,0.0032653061224489797,4
N01,N04,N23,0.0032653061224489797,4
N01,N04,N31,0.0032653061224489797,4
N01,N04,N38,0.0032653061224489797,4
N01,N04,N39,0.0032653061224489797,4
N01,N04,N41,0.0032653061224489797,4
N01,N05,N18,0.0032653061224489797,4
N01,N05,N20,0.0032653061224489797,4
N01,N06,N42,0.0032653061224489797,4
N01,N07,N37,0.0032653061224489797,4
N01,N07,N38,0.0032653061224489797,4
N01,N08,N13,0.0032653061224489797,4
N01,N08,N18,0.0032653061224489797,4
N01,N08,N24,0.0032653061224489797,4
N01,N08,N29,0.0032653061224489797,4
N01,N08,N39,0.0032653061224489797,4
N01,N08,N42,0.0032653061224489797,4
N01,N09,N21,0.0032653061224489797,4
N01,N09,N38,0.0032653061224489797,4
N01,N10,N16,0.0032653061224489797,4
N01,N10,N20,0.0032653061224489797,4
N01,N10,N28,0.0032653061224489797,4
N01,N10,N40,0.0032653061224489797,4
N01,N11,N17,0.0032653061224489797,4
N01,N12,N16,0.0032653061224489797,4
N01,N12,N26,0.0032653061224489797,4
N01,N12,N41,0.0032653061224489797,4
N01,N12,N42,0.0032653061224489797,4
N01,N12,N43,0.0032653061224489797,4
N01,N13,N28,0.0032653061224489797,4
N01,N13,N34,0.0032653061224489797,4
N01,N13,N39,0.0032653061224489797,4
N01,N13,N45,0.0032653061224489797,4
N01,N14,N18,0.0032653061224489797,4
N01,N15,N25,0.0032653061224489797,4
N01,N16,N38,0.0032653061224489797,4
N01,N17,N27,0.0032653061224489797,4
N01,N17,N28,0.0032653061224489797,4
N01,N17,N29,0.0032653061224489797,4
N01,N17,N39,0.0032653061224489797,4
N01,N18,N29,0.0032653061224489797,4
N01,N20,N35,0.0032653061224489797,4
N01,N21,N35,0.0032653061224489797,4
N01,N23,N42,0.0032653061224489797,4
N01,N24,N27,0.0032653061224489797,4
